product_name,category,total_profit,profit_margin,revenue,units_sold
Amount,Books,8645.87,26.777032480415556,32288.38,139
Someone,Electronics,8629.94,33.59282642197321,25689.83,103
Record,Clothing,8572.21,22.6039705754774,37923.47,246
Yet,Books,8560.65,26.186485006622597,32691.1,115
And,Clothing,8528.83,28.399490803529478,30031.63,120
Win,Electronics,8408.34,17.199971034521695,48885.78,128
Deep,Electronics,8378.41,30.29832152330394,27653.05,98
Ago,Electronics,8261.99,22.387250036512775,36904.89,110
Board,Clothing,8198.77,30.139533892027668,27202.71,122
Test,Home & Kitchen,8182.33,29.165411687294664,28054.91,122
Wife,Sports,8179.76,20.97860632310669,38990.96,120
Official,Books,8179.15,27.368975815424253,29884.75,140
Later,Home & Kitchen,8117.75,20.15073551953289,40285.13,114
Nice,Clothing,8091.3,21.379933571672044,37845.3,87
Including,Sports,8082.14,24.101071259448517,33534.36,89
Cup,Home & Kitchen,8054.04,29.023818584376947,27749.76,129
Source,Clothing,8014.35,28.794313245739783,27833.1,125
Mouth,Home & Kitchen,7987.44,23.540167120969517,33931.11,113
Edge,Clothing,7890.54,28.829187609632015,27369.97,89
Between,Home & Kitchen,7858.27,33.6790986757686,23332.78,111
Realize,Electronics,7830.95,15.594857706718816,50214.95,120
Word,Beauty,7795.76,12.182112245774961,63993.5,138
Open,Clothing,7641.35,24.665668163345675,30979.7,93
Add,Electronics,7601.46,21.252564496134173,35767.26,130
Many,Beauty,7577.25,29.87503523813091,25363.15,110
Story,Sports,7572.99,25.59417048315355,29588.73,111
Close,Beauty,7551.31,21.594686855578342,34968.37,122
Option,Books,7538.1,33.42801077593375,22550.25,123
Factor,Books,7483.56,22.700960358043464,32965.83,111
Soldier,Beauty,7470.82,22.3673629228749,33400.54,106
Machine,Clothing,7470.4,19.377413941134204,38552.1,130
Stay,Clothing,7400.8,20.30036352923718,36456.49,113
Make,Sports,7375.83,16.98792691614344,43418.07,96
General,Home & Kitchen,7350.52,24.95575335410456,29454.21,161
Wife,Clothing,7345.99,28.70849504517901,25588.21,138
Generation,Beauty,7337.45,15.42398430663279,47571.69,136
Some,Clothing,7282.69,33.5449384507318,21710.25,98
Themselves,Clothing,7265.12,19.744942497371913,36794.84,132
Add,Books,7221.64,15.374854749133817,46970.46,122
Standard,Sports,7214.5,18.029497953016595,40014.98,124
Effort,Clothing,7166.44,28.488062859110016,25155.94,150
Popular,Home & Kitchen,7162.67,30.365582335514656,23588.12,115
Page,Electronics,7093.08,30.518949674634577,23241.56,128
Sport,Books,7011.28,25.48339647288404,27513.13,155
Fill,Home & Kitchen,6964.01,15.965765815748815,43618.39,119
National,Books,6913.72,14.017477749343398,49322.14,122
Heart,Beauty,6895.87,25.09829684318182,27475.45,126
Goal,Electronics,6843.94,19.462385283532242,35164.96,91
Draw,Beauty,6816.53,15.300756807813553,44550.28,125
Forward,Clothing,6807.64,35.44663666109182,19205.32,134
Protect,Electronics,6792.19,21.089153517104805,32207.03,89
Able,Clothing,6763.34,17.582470718585945,38466.38,128
Off,Beauty,6733.55,22.63731978275596,29745.35,105
Imagine,Beauty,6732.45,11.798678783513447,57061.05,161
Finish,Sports,6692.5,25.164031509089885,26595.5,130
Yard,Beauty,6661.84,22.273726669198794,29908.96,104
Ok,Sports,6612.48,17.27395411605938,38280.06,126
Glass,Sports,6593.1,13.249761757101165,49760.14,112
Subject,Home & Kitchen,6576.45,28.096202401855862,23406.9,117
Various,Clothing,6572.2,18.06251109634347,36385.86,134
Take,Home & Kitchen,6563.08,14.323276535603263,45821.08,108
Near,Electronics,6559.48,18.521923676848132,35414.68,110
Buy,Electronics,6546.62,29.665105159318156,22068.42,140
Measure,Beauty,6526.35,20.422701591389504,31956.35,100
Color,Clothing,6506.28,15.454794652006543,42098.78,115
Book,Home & Kitchen,6455.63,32.031396139836765,20154.07,98
Enough,Beauty,6453.31,14.814359941581014,43561.18,123
Coach,Beauty,6421.11,24.258102392296777,26469.96,135
Bar,Beauty,6416.69,30.23458972125066,21223.01,114
Also,Sports,6411.88,14.724525428298348,43545.58,123
Describe,Home & Kitchen,6366.34,32.945624510318375,19323.78,106
Add,Sports,6350.83,26.856140520027623,23647.59,124
But,Books,6334.65,34.103738159265454,18574.65,120
Stock,Electronics,6330.27,17.93381768629623,35297.95,122
Reality,Electronics,6278.6,12.535208230680094,50087.72,144
Throughout,Home & Kitchen,6219.93,23.546703443346637,26415.29,113
Sister,Sports,6095.12,29.005706802096935,21013.52,112
Person,Clothing,6092.29,34.55299054602129,17631.73,93
Somebody,Home & Kitchen,6070.66,23.59632668069595,25727.14,93
Reflect,Sports,6041.26,25.151418260784126,24019.56,113
Minute,Electronics,6030.29,26.6842812803945,22598.66,119
Recently,Electronics,6016.08,14.354910908155562,41909.56,98
Act,Beauty,6011.83,28.417539771263534,21155.35,84
Later,Electronics,5985.4,29.2344790431855,20473.77,169
Road,Clothing,5972.37,21.733515283842795,27480.0,137
Learn,Clothing,5940.15,17.739273311399703,33485.87,92
Military,Sports,5864.45,31.672594020798396,18515.85,122
Involve,Clothing,5806.77,29.01488877018868,20013.07,95
Once,Electronics,5753.05,18.93019186354323,30390.87,107
Everything,Sports,5750.28,11.925558275602615,48218.12,106
Wish,Beauty,5741.84,21.816264094337644,26319.08,116
Economy,Electronics,5738.58,18.333687957537105,31300.74,104
Pay,Home & Kitchen,5729.61,7.979016959977005,71808.47,244
Article,Beauty,5699.72,34.04899472871774,16739.76,121
Simply,Home & Kitchen,5685.98,19.381983214039067,29336.42,114
Something,Books,5672.87,18.592465962192815,30511.66,259
Hand,Home & Kitchen,5671.7,16.41555311213035,34550.77,121
Become,Home & Kitchen,5654.61,23.70628341590229,23852.79,143
Million,Beauty,5611.17,26.6534266499591,21052.34,107
Response,Sports,5582.71,20.006027563380798,27905.14,117
Man,Electronics,5530.39,22.91717083649648,24132.08,127
Visit,Clothing,5522.08,10.771965361669057,51263.44,114
Ahead,Electronics,5514.6,11.390855092856146,48412.52,128
There,Books,5509.77,16.965160235083506,32476.97,80
Cut,Home & Kitchen,5432.81,19.321734670905528,28117.61,139
Main,Books,5396.74,15.960528837395277,33813.04,109
Stuff,Sports,5392.23,30.968790166679877,17411.82,99
Eye,Beauty,5379.6,31.086070902314294,17305.5,105
People,Beauty,5362.87,11.966701283098896,44814.94,129
Name,Clothing,5308.47,11.40329527773953,46552.07,115
Price,Beauty,5272.47,25.917578436452047,20343.22,115
Parent,Books,5266.03,23.76423092960665,22159.48,105
Point,Electronics,5260.23,26.930750551774665,19532.43,162
Create,Clothing,5258.66,15.806614800144159,33268.73,99
Food,Sports,5247.77,26.69744536780548,19656.45,121
Final,Clothing,5188.83,25.618854593795284,20253.95,112
Voice,Sports,5181.64,11.550634392787195,44860.22,266
With,Home & Kitchen,5173.63,14.489278035635419,35706.61,146
Step,Books,5168.64,12.264749097342714,42142.24,113
Keep,Clothing,5120.41,18.696163832465114,27387.49,99
Beat,Clothing,5102.71,18.513011907703238,27562.83,124
Race,Beauty,5097.95,9.297906345564146,54829.01,138
South,Beauty,4982.92,20.544074198982635,24254.78,106
Son,Beauty,4962.91,8.2802247029793,59936.9,137
Specific,Beauty,4929.37,17.020970236428358,28960.57,93
International,Books,4852.29,33.43089168749083,14514.39,107
Consider,Clothing,4794.89,26.079325392055495,18385.79,90
Much,Home & Kitchen,4780.38,17.28205910572815,27660.94,152
True,Sports,4742.49,23.5918602065542,20102.23,121
Experience,Electronics,4579.84,18.091143838703523,25315.37,107
Wear,Books,4520.74,19.639816076294277,23018.24,125
Front,Home & Kitchen,4505.31,9.451904863105764,47665.63,128
Step,Beauty,4503.47,16.476389050985134,27332.87,110
Leave,Sports,4449.8,22.121447732375124,20115.32,104
Let,Electronics,4409.06,12.168738277157527,36232.68,142
Under,Sports,4408.6,18.740900231466227,23523.95,145
International,Clothing,4389.87,31.7708005393235,13817.31,132
Family,Beauty,4377.43,4.860938296577833,90053.19,236
Food,Home & Kitchen,4358.49,11.260970654750016,38704.39,115
End,Electronics,4337.72,20.363572859398246,21301.37,115
Major,Books,4288.86,25.18994389783203,17026.08,114
Manager,Electronics,4271.27,14.867802920602388,28728.32,139
Up,Clothing,4266.02,28.52616825679583,14954.76,94
State,Home & Kitchen,4250.46,11.249585133733827,37783.26,120
Real,Clothing,4147.11,7.357559945136448,56365.29,126
Music,Electronics,4139.98,12.447193129356727,33260.35,97
Bed,Sports,4139.16,15.897736071678773,26036.16,90
Employee,Sports,4138.8,19.81471223712161,20887.51,107
Office,Clothing,4104.03,10.478536773931307,39166.06,109
Newspaper,Beauty,4074.38,17.02103660727266,23937.32,118
Card,Beauty,4028.45,31.63389505755972,12734.6,135
Let,Home & Kitchen,3984.53,7.4644735323694755,53379.92,129
Drive,Books,3933.99,12.259606395205342,32089.04,103
Behind,Electronics,3840.37,11.145521528228828,34456.62,125
History,Home & Kitchen,3838.44,16.660908214908893,23038.6,124
Fact,Sports,3819.24,10.961947298131593,34840.89,99
Lot,Sports,3786.2,14.051132882330391,26945.87,123
Item,Electronics,3785.81,20.371110744013333,18584.21,120
Page,Clothing,3707.53,30.365571494678388,12209.65,114
Fund,Beauty,3691.31,10.749110164321484,34340.61,121
Learn,Home & Kitchen,3675.81,21.16855788367979,17364.48,123
Power,Sports,3672.13,11.102484213836192,33074.85,151
Bring,Electronics,3648.64,12.039085849890222,30306.62,107
Force,Electronics,3642.12,28.238479359142545,12897.72,120
Continue,Books,3614.99,33.94959293245468,10648.11,113
Miss,Clothing,3577.55,12.536298691582628,28537.53,122
Consumer,Home & Kitchen,3545.96,7.390383597748513,47980.73,151
Offer,Electronics,3513.26,8.574083827004243,40975.34,96
Worry,Sports,3499.17,10.181556943097492,34367.73,124
Gas,Home & Kitchen,3494.34,23.636053717750478,14783.94,128
Again,Beauty,3449.55,13.87745134916481,24857.23,152
Air,Sports,3442.66,6.124437084985268,56211.86,134
Far,Books,3401.35,7.372463118176811,46135.87,108
Story,Clothing,3373.42,25.09970178748936,13440.08,97
Store,Beauty,3347.37,14.231706710441228,23520.51,117
Word,Clothing,3334.64,17.616250751478923,18929.34,110
Everyone,Books,3293.41,12.912123025098857,25506.34,101
Experience,Home & Kitchen,3285.83,13.435938620017641,24455.53,139
Morning,Clothing,3277.88,12.714778231875153,25780.08,140
Artist,Electronics,3273.36,14.678849713719918,22299.84,132
Onto,Electronics,3268.04,14.591418493548243,22397.0,96
Share,Beauty,3261.69,6.016784772509055,54209.85,146
Maintain,Sports,3261.66,7.811225484396756,41756.06,112
Similar,Electronics,3260.5,6.058057764941784,53820.88,123
Face,Beauty,3251.09,7.532680874332133,43159.8,97
Debate,Sports,3211.95,13.059186439051642,24595.33,106
Mention,Home & Kitchen,3165.29,10.168129800909233,31129.52,111
Idea,Clothing,3110.64,16.54454940005106,18801.6,114
Through,Books,3086.88,5.517523420446982,55946.84,124
Body,Books,3080.97,7.787430646074892,39563.37,120
Great,Clothing,3075.66,14.002179773991854,21965.58,126
Always,Books,3069.58,5.181965037039238,59235.83,131
Seat,Clothing,3058.32,25.564995837136752,11962.92,153
Indeed,Sports,3046.53,12.538496901521603,24297.41,106
Enjoy,Clothing,3038.02,17.137831711887756,17726.98,104
Nice,Electronics,3031.38,12.798636109161931,23685.18,145
Summer,Sports,3001.56,28.629147638178303,10484.28,102
Sound,Books,2998.73,15.525676105961018,19314.65,153
Player,Beauty,2986.39,16.24840380008477,18379.59,116
Want,Beauty,2938.74,31.063164537293364,9460.53,237
Anything,Beauty,2914.93,10.97783816884509,26552.86,97
Alone,Books,2885.47,19.325919907947252,14930.57,115
Half,Electronics,2882.79,7.519608357154986,38336.97,102
Beat,Sports,2871.75,16.109208852309674,17826.76,139
Bring,Home & Kitchen,2821.56,9.969683478555831,28301.4,109
Miss,Beauty,2813.86,19.91468954823112,14129.57,119
Forget,Sports,2807.94,6.089187687607588,46113.54,130
City,Books,2803.47,13.435254177505401,20866.52,113
Above,Books,2776.41,7.1654449442940535,38747.21,95
Continue,Sports,2776.03,8.219864794160642,33772.21,138
Something,Beauty,2760.67,26.56469965599365,10392.25,93
Guess,Books,2735.33,15.210279685243583,17983.43,106
Them,Electronics,2717.96,14.281255549962536,19031.66,130
Plan,Books,2709.79,21.309880686876184,12716.12,127
Life,Sports,2705.53,8.862155135620096,30529.03,135
Hundred,Electronics,2693.56,5.38769325056186,49994.68,128
Toward,Clothing,2671.55,8.9984172647816,29689.11,116
Director,Sports,2662.6,22.709632957881503,11724.54,227
Wind,Home & Kitchen,2654.48,6.616636260736069,40118.27,91
Option,Sports,2639.45,6.714112775320087,39311.97,127
Season,Electronics,2629.39,21.49486946399142,12232.64,107
Attention,Electronics,2626.48,12.06242657547559,21774.06,101
Discussion,Sports,2622.51,14.931259533053327,17563.89,93
Final,Electronics,2620.44,20.506760616727263,12778.42,106
Environment,Home & Kitchen,2607.57,6.098788601430364,42755.54,109
Young,Home & Kitchen,2604.88,28.522311935686613,9132.78,145
His,Home & Kitchen,2549.58,9.661737989618173,26388.42,228
Prevent,Clothing,2488.15,12.004071875354299,20727.55,90
Really,Clothing,2479.9,5.923195979707459,41867.6,122
Theory,Sports,2450.98,10.709675840679273,22885.66,126
May,Beauty,2431.24,13.155576526404873,18480.68,121
Maybe,Beauty,2431.02,12.166987146442073,19980.46,136
Represent,Books,2394.41,16.422328622152904,14580.21,116
Talk,Clothing,2393.24,6.831340749528162,35033.24,125
Cover,Electronics,2367.22,18.23336850780642,12982.9,114
Daughter,Sports,2348.49,11.006273391652536,21337.74,105
Fill,Books,2283.04,9.723405270223306,23479.84,80
Control,Electronics,2259.06,23.80458629170434,9490.02,132
Seven,Beauty,2209.21,9.112643260935473,24243.35,118
Head,Books,2196.93,4.171121288946025,52670.01,126
Hair,Sports,2189.65,12.453887655940203,17582.06,121
Material,Clothing,2186.42,27.522494624955314,7944.12,103
Fall,Electronics,2150.93,12.159449432060045,17689.37,124
Authority,Home & Kitchen,2134.99,4.7023114556992835,45402.99,116
Sit,Electronics,2090.52,9.525988086818947,21945.44,107
Produce,Books,2087.59,8.10115235136724,25769.05,106
Bar,Sports,2083.25,24.215108507398497,8603.1,95
Fire,Sports,2069.93,7.138952511254577,28994.87,119
Vote,Books,2068.66,9.051461795371837,22854.43,131
Language,Sports,2067.02,4.835948978541415,42742.8,118
Cause,Electronics,2041.08,30.234325353621088,6750.87,129
Democrat,Clothing,2038.89,16.40643482375207,12427.38,111
Often,Home & Kitchen,2036.48,9.932328791843364,20503.55,111
Old,Clothing,2003.06,21.80063734751983,9188.08,118
Business,Books,1986.07,20.935375637605187,9486.67,135
Take,Sports,1976.08,5.889070613535254,33555.04,84
House,Sports,1950.89,25.359551379710176,7692.92,111
Finally,Sports,1931.28,7.731948857230706,24977.92,124
Relationship,Clothing,1916.83,3.5035659301823787,54710.83,150
Worry,Electronics,1884.27,13.133583699961525,14346.96,129
Letter,Clothing,1878.66,4.2335751948270275,44375.26,116
Memory,Home & Kitchen,1856.95,28.962801216563985,6411.5,143
Most,Beauty,1842.42,6.624288554673877,27813.1,92
Onto,Sports,1838.36,4.446551453070011,41343.5,106
Arm,Electronics,1836.57,6.846634521827499,26824.42,145
The,Home & Kitchen,1834.29,4.283429461739306,42822.93,132
Nor,Clothing,1810.99,25.32247532408333,7151.71,102
Stuff,Beauty,1793.94,5.893298169468541,30440.34,128
Owner,Home & Kitchen,1774.14,19.76121338087234,8977.89,113
Bill,Home & Kitchen,1772.53,16.637022450448793,10654.13,104
Traditional,Books,1770.75,14.737091780685109,12015.6,105
Election,Beauty,1697.42,3.3157720985382566,51192.3,116
Must,Clothing,1663.74,10.492916174734356,15855.84,117
Blood,Clothing,1618.63,3.6391183811192027,44478.63,125
Make,Electronics,1617.58,29.883244042120822,5413.0,122
Maintain,Books,1610.82,7.620915719149939,21136.83,147
Heart,Clothing,1609.6,8.51074629769846,18912.56,124
Hour,Beauty,1586.32,13.81527839224689,11482.36,147
Scene,Home & Kitchen,1556.07,19.641966784353276,7922.17,118
Television,Books,1549.69,7.908179407676244,19596.04,119
National,Sports,1549.54,6.469236537070962,23952.44,130
Leave,Books,1535.81,2.892304632760871,53099.87,123
Degree,Clothing,1511.72,4.503709247213931,33566.11,131
Think,Clothing,1509.25,9.684258211808219,15584.57,119
Moment,Sports,1506.89,23.623853211009173,6378.68,111
Eye,Books,1493.47,16.50423637502887,9049.01,118
Well,Electronics,1488.72,7.142654947758612,20842.67,121
Find,Beauty,1486.49,10.090766597946262,14731.19,119
Source,Home & Kitchen,1482.34,30.225928795726112,4904.2,107
Issue,Electronics,1463.92,14.600566899982645,10026.46,87
Apply,Clothing,1435.25,12.377112797516386,11596.0,97
Method,Books,1432.11,5.256689927201171,27243.57,113
High,Home & Kitchen,1406.2,6.556585167066564,21447.14,122
Positive,Home & Kitchen,1392.19,3.7484427372929114,37140.49,105
Agree,Clothing,1372.96,18.678940071915335,7350.31,111
On,Electronics,1369.72,30.94922837065323,4425.7,93
Prevent,Books,1358.22,31.53561461269486,4306.94,124
Make,Books,1355.59,13.414723450407907,10105.24,105
Firm,Beauty,1332.17,3.7272327177935582,35741.53,136
Plan,Beauty,1319.4,28.719194452062844,4594.14,126
Whom,Books,1297.99,6.144596051238183,21124.09,126
Sometimes,Home & Kitchen,1264.03,18.504724887825088,6830.85,119
Along,Books,1231.12,22.83505460588794,5391.36,133
Face,Sports,1228.32,23.891280203995496,5141.29,131
Small,Electronics,1219.6,8.580224678628515,14214.08,152
Chair,Beauty,1206.39,10.61407097514946,11365.95,138
Show,Clothing,1156.15,22.185145172958357,5211.37,117
Value,Home & Kitchen,1147.58,24.064233919502097,4768.82,108
So,Beauty,1139.93,34.575499024850394,3296.93,150
Fish,Clothing,1138.67,8.807815624286913,12927.95,144
Option,Electronics,1111.05,29.89490168221885,3716.52,133
Direction,Home & Kitchen,1103.48,4.850905049780375,22747.92,94
Six,Books,1102.28,4.350393172485977,25337.48,135
Law,Electronics,1068.69,8.520801490655893,12542.13,123
Although,Clothing,1061.1,26.935437196338547,3939.42,134
Feel,Books,1051.27,34.92974312798413,3009.67,128
Rise,Home & Kitchen,1046.71,15.469367486706254,6766.34,101
Common,Sports,1023.48,15.95164694037225,6416.14,91
Else,Home & Kitchen,1014.05,18.838358505638226,5382.9,131
Throughout,Books,951.24,2.744628694359552,34658.24,100
Glass,Beauty,935.55,10.288321537128354,9093.32,101
Tough,Books,926.13,18.29544377014982,5062.08,91
Fine,Electronics,908.22,19.901262810525832,4563.63,121
Lot,Clothing,883.51,17.444020825970465,5064.83,143
These,Sports,882.58,24.2378471602409,3641.33,125
Quality,Beauty,838.12,11.908226013617195,7038.16,121
Data,Beauty,810.98,13.751017362995116,5897.6,126
Phone,Sports,809.2,19.09265079230254,4238.28,118
Bag,Sports,779.57,18.442761599916725,4226.97,110
Customer,Clothing,774.91,19.972370493129997,3879.91,135
Watch,Home & Kitchen,768.95,16.593297511922486,4634.1,115
Stage,Sports,768.79,14.425261799015662,5329.47,113
Expect,Books,764.23,4.138303362225954,18467.23,126
Hot,Books,762.23,7.702755278887985,9895.55,131
Television,Sports,723.99,3.325016085676377,21774.03,111
Forget,Books,677.57,15.014104044193411,4512.89,124
Great,Home & Kitchen,674.81,20.689031419391235,3261.68,117
Ten,Electronics,650.87,2.6733199490037327,24346.88,117
Born,Clothing,642.68,31.933140545965873,2012.58,95
Bar,Clothing,638.64,13.9494957658309,4578.23,151
That,Sports,632.4,16.24374869965247,3893.19,117
Sense,Home & Kitchen,626.46,10.519757920968317,5955.08,106
Occur,Clothing,618.39,3.1248436668591935,19789.47,108
May,Electronics,524.51,1.9733710969288611,26579.39,124
Mission,Books,498.1,23.378391063550172,2130.6,125
Five,Books,491.28,5.207210472928929,9434.61,123
Article,Home & Kitchen,478.68,14.471993542203935,3307.63,145
Writer,Electronics,474.27,2.9956152484755694,15832.14,99
Month,Books,470.75,13.73995224947025,3426.14,129
Attack,Beauty,454.64,14.301082709983454,3179.06,102
Manager,Home & Kitchen,448.13,2.737698288090924,16368.86,111
Rather,Electronics,432.41,20.335691040087287,2126.36,115
After,Books,428.78,6.467113915802937,6630.16,149
Much,Clothing,411.14,33.07163886162905,1243.18,122
As,Home & Kitchen,402.09,3.5132095946820865,11445.09,135
Line,Books,394.76,16.300272524568502,2421.8,164
More,Home & Kitchen,382.54,32.46431420472869,1178.34,115
Nothing,Home & Kitchen,340.1,12.773037286302317,2662.64,99
Music,Sports,312.11,14.638550543827476,2132.11,112
Know,Home & Kitchen,311.09,3.1410794917567992,9903.92,117
Provide,Electronics,303.39,2.4033232544636034,12623.77,118
Above,Home & Kitchen,299.4,3.3524132000429967,8930.88,143
Production,Home & Kitchen,297.4,8.208055154597918,3623.27,103
Pass,Home & Kitchen,244.29,12.52332519941764,1950.68,133
Including,Electronics,224.06,2.545630130371801,8801.75,139
Never,Home & Kitchen,222.5,15.051072177501183,1478.3,92
Skin,Clothing,214.43,3.4965935811262545,6132.54,121
Here,Books,212.86,3.5547880921445962,5987.98,104
Control,Books,204.65,10.000488663017983,2046.4,139
What,Home & Kitchen,200.18,3.574400308550491,5600.38,124
Down,Home & Kitchen,173.59,16.647805738836887,1042.72,111
Better,Books,158.42,3.4098148945329316,4646.0,107
Situation,Beauty,152.76,3.540733735710511,4314.36,120
Admit,Beauty,81.24,2.861631453993392,2838.94,115
Father,Books,69.46,4.736188956620164,1466.58,118
