item_id,transaction_id,product_id,quantity,unit_price,discount_percentage,line_total
ITEM00046,TXN00015,PROD0393,3,74.77,0,224.31
ITEM00047,TXN00015,PROD0441,3,197.69,10,533.76
ITEM00048,TXN00015,PROD0459,1,39.52,5,37.54
ITEM00049,TXN00016,PROD0068,3,48.18,10,130.09
ITEM00050,TXN00016,PROD0290,3,62.59,5,178.38
ITEM00051,TXN00016,PROD0034,3,433.28,0,1299.84
ITEM00052,TXN00016,PROD0173,2,194.49,15,330.63
ITEM00053,TXN00016,PROD0284,2,386.2,10,695.16
ITEM00054,TXN00017,PROD0086,2,294.25,10,529.65
ITEM00055,TXN00017,PROD0249,1,488.52,10,439.67
ITEM00056,TXN00018,PROD0046,3,435.52,0,1306.56
ITEM00057,TXN00018,PROD0270,1,327.6,10,294.84
ITEM00058,TXN00018,PROD0244,3,247.12,10,667.22
ITEM00059,TXN00018,PROD0067,3,232.8,0,698.4
ITEM00060,TXN00019,PROD0365,1,427.85,15,363.67
ITEM00061,TXN00020,PROD0102,2,374.92,10,674.86
ITEM00062,TXN00020,PROD0473,2,11.08,5,21.05
ITEM00063,TXN00021,PROD0293,1,288.39,5,273.97
ITEM00064,TXN00021,PROD0287,1,197.02,0,197.02
ITEM00065,TXN00022,PROD0166,1,167.49,10,150.74
ITEM00066,TXN00022,PROD0051,3,252.2,15,643.11
ITEM00067,TXN00022,PROD0293,2,288.39,15,490.26
ITEM00068,TXN00022,PROD0115,2,380.78,10,685.4
ITEM00069,TXN00023,PROD0010,1,216.83,5,205.99
ITEM00070,TXN00023,PROD0359,2,277.94,0,555.88
ITEM00071,TXN00024,PROD0169,1,439.56,0,439.56
ITEM00072,TXN00024,PROD0175,1,402.73,0,402.73
ITEM00073,TXN00024,PROD0151,3,185.4,0,556.2
ITEM00074,TXN00024,PROD0463,1,268.76,0,268.76
ITEM00075,TXN00025,PROD0398,3,304.67,10,822.61
ITEM00076,TXN00025,PROD0453,1,165.45,15,140.63
ITEM00077,TXN00025,PROD0197,1,422.64,0,422.64
ITEM00078,TXN00026,PROD0328,1,285.02,10,256.52
ITEM00079,TXN00026,PROD0120,3,195.97,15,499.72
ITEM00080,TXN00026,PROD0472,2,485.28,15,824.98
ITEM00081,TXN00026,PROD0037,3,194.18,10,524.29
ITEM00082,TXN00027,PROD0223,1,167.35,0,167.35
ITEM00083,TXN00027,PROD0065,2,214.8,0,429.6
ITEM00084,TXN00027,PROD0335,2,338.67,10,609.61
ITEM00085,TXN00027,PROD0181,2,248.87,10,447.97
ITEM00086,TXN00028,PROD0379,2,214.23,5,407.04
ITEM00087,TXN00028,PROD0260,1,84.1,15,71.48
ITEM00088,TXN00028,PROD0215,1,50.58,5,48.05
ITEM00089,TXN00028,PROD0436,1,445.79,5,423.5
ITEM00090,TXN00028,PROD0485,1,24.73,10,22.26
ITEM00091,TXN00029,PROD0272,2,312.58,15,531.39
ITEM00092,TXN00029,PROD0028,1,216.54,0,216.54
ITEM00093,TXN00029,PROD0490,1,142.65,15,121.25
ITEM00094,TXN00030,PROD0052,2,74.07,15,125.92
ITEM00095,TXN00030,PROD0257,3,481.22,0,1443.66
ITEM00096,TXN00030,PROD0180,1,38.85,5,36.91
ITEM00097,TXN00030,PROD0229,1,78.01,15,66.31
ITEM00098,TXN00031,PROD0248,2,41.3,10,74.34
ITEM00099,TXN00031,PROD0357,1,392.34,5,372.72
ITEM00100,TXN00031,PROD0469,2,407.96,10,734.33
ITEM00101,TXN00032,PROD0331,2,458.38,0,916.76
ITEM00102,TXN00033,PROD0419,1,287.71,10,258.94
ITEM00103,TXN00034,PROD0245,1,205.9,5,195.6
ITEM00104,TXN00034,PROD0150,1,136.2,0,136.2
ITEM00105,TXN00034,PROD0338,2,203.76,10,366.77
ITEM00106,TXN00034,PROD0316,1,461.25,10,415.12
ITEM00107,TXN00034,PROD0067,1,232.8,15,197.88
ITEM00108,TXN00035,PROD0168,3,381.4,5,1086.99
ITEM00109,TXN00035,PROD0274,3,404.45,0,1213.35
ITEM00110,TXN00035,PROD0454,1,85.8,5,81.51
ITEM00111,TXN00036,PROD0030,2,33.5,10,60.3
ITEM00112,TXN00037,PROD0046,2,435.52,5,827.49
ITEM00113,TXN00038,PROD0225,1,321.0,15,272.85
ITEM00114,TXN00038,PROD0117,1,485.95,5,461.65
ITEM00115,TXN00038,PROD0477,1,43.78,0,43.78
ITEM00116,TXN00038,PROD0421,3,405.86,0,1217.58
ITEM00117,TXN00039,PROD0386,1,230.86,5,219.32
ITEM00118,TXN00039,PROD0057,3,54.56,5,155.5
ITEM00119,TXN00039,PROD0088,3,399.07,15,1017.63
ITEM00120,TXN00039,PROD0459,3,39.52,5,112.63
ITEM00121,TXN00039,PROD0004,2,200.39,10,360.7
ITEM00122,TXN00040,PROD0171,2,195.24,5,370.96
ITEM00123,TXN00040,PROD0390,3,373.77,0,1121.31
ITEM00124,TXN00040,PROD0002,2,148.03,0,296.06
ITEM00125,TXN00041,PROD0004,1,200.39,15,170.33
ITEM00126,TXN00041,PROD0131,1,434.37,0,434.37
ITEM00127,TXN00042,PROD0281,1,31.48,15,26.76
ITEM00128,TXN00042,PROD0181,1,248.87,5,236.43
ITEM00129,TXN00042,PROD0062,2,396.45,5,753.25
ITEM00130,TXN00043,PROD0384,3,111.19,0,333.57
ITEM00131,TXN00043,PROD0420,2,386.92,10,696.46
ITEM00132,TXN00044,PROD0424,2,295.36,5,561.18
ITEM00133,TXN00044,PROD0434,1,242.98,5,230.83
ITEM00134,TXN00044,PROD0345,1,424.66,0,424.66
ITEM00135,TXN00045,PROD0026,1,474.16,0,474.16
ITEM00136,TXN00046,PROD0207,2,325.54,5,618.53
ITEM00137,TXN00046,PROD0474,3,293.08,10,791.32
ITEM00138,TXN00046,PROD0223,3,167.35,10,451.84
ITEM00139,TXN00046,PROD0201,3,182.48,10,492.7
ITEM00140,TXN00046,PROD0266,3,110.52,5,314.98
ITEM00141,TXN00047,PROD0262,3,321.01,15,818.58
ITEM00142,TXN00047,PROD0246,2,68.71,15,116.81
ITEM00143,TXN00047,PROD0329,3,219.84,5,626.54
ITEM00144,TXN00047,PROD0174,3,447.63,5,1275.75
ITEM00145,TXN00047,PROD0250,1,274.9,10,247.41
ITEM00146,TXN00048,PROD0404,3,152.97,5,435.96
ITEM00147,TXN00048,PROD0140,1,243.81,10,219.43
ITEM00148,TXN00048,PROD0255,2,204.91,15,348.35
ITEM00149,TXN00048,PROD0302,3,452.32,15,1153.42
ITEM00150,TXN00048,PROD0314,2,324.54,0,649.08
ITEM00151,TXN00049,PROD0470,3,298.57,5,850.92
ITEM00152,TXN00049,PROD0215,3,50.58,15,128.98
ITEM00153,TXN00049,PROD0149,3,419.05,5,1194.29
ITEM00154,TXN00050,PROD0190,3,342.23,15,872.69
ITEM00155,TXN00050,PROD0358,2,249.71,5,474.45
ITEM00156,TXN00051,PROD0166,2,167.49,0,334.98
ITEM00157,TXN00051,PROD0337,2,38.53,5,73.21
ITEM00158,TXN00051,PROD0201,1,182.48,0,182.48
ITEM00159,TXN00051,PROD0409,1,181.51,10,163.36
ITEM00160,TXN00051,PROD0110,3,256.81,5,731.91
ITEM00161,TXN00052,PROD0294,2,430.85,0,861.7
ITEM00162,TXN00052,PROD0344,1,234.13,5,222.42
ITEM00163,TXN00052,PROD0069,3,214.71,10,579.72
ITEM00164,TXN00052,PROD0422,3,498.38,0,1495.14
ITEM00165,TXN00052,PROD0035,2,416.82,0,833.64
ITEM00166,TXN00053,PROD0412,3,75.31,10,203.34
ITEM00167,TXN00053,PROD0223,3,167.35,5,476.95
ITEM00168,TXN00054,PROD0372,2,91.99,10,165.58
ITEM00169,TXN00054,PROD0323,1,473.68,0,473.68
ITEM00170,TXN00054,PROD0147,1,427.77,0,427.77
ITEM00171,TXN00054,PROD0493,1,61.14,0,61.14
ITEM00172,TXN00054,PROD0171,2,195.24,15,331.91
ITEM00173,TXN00055,PROD0499,2,270.18,0,540.36
ITEM00174,TXN00056,PROD0293,1,288.39,15,245.13
ITEM00175,TXN00056,PROD0176,1,55.24,10,49.72
ITEM00176,TXN00056,PROD0137,3,124.0,5,353.4
ITEM00177,TXN00056,PROD0264,3,408.2,10,1102.14
ITEM00178,TXN00057,PROD0064,3,67.65,0,202.95
ITEM00179,TXN00057,PROD0072,3,491.38,5,1400.43
ITEM00180,TXN00057,PROD0075,1,271.92,5,258.32
ITEM00181,TXN00057,PROD0065,3,214.8,0,644.4
ITEM00182,TXN00057,PROD0275,2,257.46,0,514.92
ITEM00183,TXN00058,PROD0328,1,285.02,10,256.52
ITEM00184,TXN00058,PROD0235,1,278.07,10,250.26
ITEM00185,TXN00058,PROD0081,1,176.48,10,158.83
ITEM00186,TXN00058,PROD0065,3,214.8,15,547.74
ITEM00187,TXN00059,PROD0113,3,266.63,10,719.9
ITEM00188,TXN00060,PROD0390,1,373.77,10,336.39
ITEM00189,TXN00060,PROD0031,1,84.8,5,80.56
ITEM00190,TXN00060,PROD0498,2,47.36,5,89.98
ITEM00191,TXN00060,PROD0335,3,338.67,5,965.21
ITEM00192,TXN00060,PROD0088,3,399.07,0,1197.21
ITEM00193,TXN00061,PROD0080,1,179.78,10,161.8
ITEM00194,TXN00061,PROD0469,2,407.96,5,775.12
ITEM00195,TXN00061,PROD0364,1,406.21,0,406.21
ITEM00196,TXN00062,PROD0366,1,335.14,5,318.38
ITEM00197,TXN00063,PROD0309,3,349.76,5,996.82
ITEM00198,TXN00063,PROD0057,2,54.56,10,98.21
ITEM00199,TXN00063,PROD0453,3,165.45,15,421.9
ITEM00200,TXN00063,PROD0064,3,67.65,5,192.8
ITEM00201,TXN00064,PROD0029,1,388.36,0,388.36
ITEM00202,TXN00064,PROD0361,1,384.6,10,346.14
ITEM00203,TXN00064,PROD0421,2,405.86,10,730.55
ITEM00204,TXN00064,PROD0031,2,84.8,5,161.12
ITEM00205,TXN00064,PROD0005,2,336.36,0,672.72
ITEM00206,TXN00065,PROD0174,1,447.63,10,402.87
ITEM00207,TXN00065,PROD0450,2,30.45,0,60.9
ITEM00208,TXN00065,PROD0396,3,347.73,10,938.87
ITEM00209,TXN00065,PROD0487,3,193.63,10,522.8
ITEM00210,TXN00066,PROD0094,1,393.82,0,393.82
ITEM00211,TXN00067,PROD0368,3,290.37,10,784.0
ITEM00212,TXN00068,PROD0438,3,199.29,0,597.87
ITEM00213,TXN00068,PROD0059,1,457.57,5,434.69
ITEM00214,TXN00068,PROD0498,2,47.36,10,85.25
ITEM00215,TXN00068,PROD0485,2,24.73,5,46.99
ITEM00216,TXN00069,PROD0029,1,388.36,10,349.52
ITEM00217,TXN00069,PROD0156,3,420.83,10,1136.24
ITEM00218,TXN00070,PROD0068,3,48.18,5,137.31
ITEM00219,TXN00071,PROD0121,3,325.75,15,830.66
ITEM00220,TXN00072,PROD0051,1,252.2,15,214.37
ITEM00221,TXN00073,PROD0154,2,279.79,0,559.58
ITEM00222,TXN00073,PROD0198,3,153.6,10,414.72
ITEM00223,TXN00074,PROD0049,3,415.11,15,1058.53
ITEM00224,TXN00074,PROD0251,1,406.23,15,345.3
ITEM00225,TXN00075,PROD0412,1,75.31,5,71.54
ITEM00226,TXN00075,PROD0466,2,485.39,0,970.78
ITEM00227,TXN00075,PROD0384,2,111.19,5,211.26
ITEM00228,TXN00075,PROD0209,3,125.98,0,377.94
ITEM00229,TXN00076,PROD0396,1,347.73,15,295.57
ITEM00230,TXN00076,PROD0080,1,179.78,10,161.8
ITEM00231,TXN00076,PROD0231,3,497.56,10,1343.41
ITEM00232,TXN00076,PROD0433,2,392.22,0,784.44
ITEM00233,TXN00076,PROD0177,3,307.37,5,876.0
ITEM00234,TXN00077,PROD0326,3,228.46,15,582.57
ITEM00235,TXN00077,PROD0074,2,84.2,15,143.14
ITEM00236,TXN00078,PROD0394,1,67.2,15,57.12
ITEM00237,TXN00078,PROD0353,2,444.62,5,844.78
ITEM00238,TXN00078,PROD0389,1,476.45,10,428.81
ITEM00239,TXN00078,PROD0310,1,130.24,0,130.24
ITEM00240,TXN00079,PROD0319,1,368.68,10,331.81
ITEM00241,TXN00079,PROD0343,2,491.84,0,983.68
ITEM00242,TXN00079,PROD0291,2,422.71,15,718.61
ITEM00243,TXN00080,PROD0421,2,405.86,15,689.96
ITEM00244,TXN00081,PROD0290,1,62.59,10,56.33
ITEM00245,TXN00081,PROD0350,3,176.36,5,502.63
ITEM00246,TXN00081,PROD0407,2,484.47,5,920.49
ITEM00247,TXN00081,PROD0203,1,11.07,5,10.52
ITEM00248,TXN00082,PROD0470,3,298.57,5,850.92
ITEM00249,TXN00083,PROD0411,1,461.6,0,461.6
ITEM00250,TXN00083,PROD0293,2,288.39,15,490.26
ITEM00251,TXN00083,PROD0356,2,213.64,10,384.55
ITEM00252,TXN00083,PROD0056,1,302.59,15,257.2
ITEM00253,TXN00083,PROD0297,3,369.98,10,998.95
ITEM00254,TXN00084,PROD0493,1,61.14,0,61.14
ITEM00255,TXN00084,PROD0113,2,266.63,5,506.6
ITEM00256,TXN00084,PROD0163,1,169.44,5,160.97
ITEM00257,TXN00084,PROD0495,1,212.41,0,212.41
ITEM00258,TXN00084,PROD0182,1,369.04,5,350.59
ITEM00259,TXN00085,PROD0350,3,176.36,0,529.08
ITEM00260,TXN00085,PROD0267,2,113.1,5,214.89
ITEM00261,TXN00085,PROD0369,1,253.64,15,215.59
ITEM00262,TXN00085,PROD0232,2,236.45,10,425.61
ITEM00263,TXN00085,PROD0422,1,498.38,0,498.38
ITEM00264,TXN00086,PROD0230,3,456.5,15,1164.08
ITEM00265,TXN00086,PROD0383,1,261.88,5,248.79
ITEM00266,TXN00086,PROD0345,2,424.66,10,764.39
ITEM00267,TXN00086,PROD0158,2,158.07,10,284.53
ITEM00268,TXN00087,PROD0130,2,195.93,0,391.86
ITEM00269,TXN00087,PROD0104,1,371.02,10,333.92
ITEM00270,TXN00088,PROD0115,3,380.78,0,1142.34
ITEM00271,TXN00088,PROD0122,1,304.24,5,289.03
ITEM00272,TXN00088,PROD0322,3,362.65,0,1087.95
ITEM00273,TXN00089,PROD0194,2,36.97,10,66.55
ITEM00274,TXN00089,PROD0057,1,54.56,5,51.83
ITEM00275,TXN00089,PROD0460,3,463.08,15,1180.85
ITEM00276,TXN00090,PROD0465,3,400.72,0,1202.16
ITEM00277,TXN00090,PROD0307,2,43.06,15,73.2
ITEM00278,TXN00090,PROD0226,3,344.33,10,929.69
ITEM00279,TXN00091,PROD0115,2,380.78,10,685.4
ITEM00280,TXN00091,PROD0174,3,447.63,0,1342.89
ITEM00281,TXN00091,PROD0120,2,195.97,10,352.75
ITEM00282,TXN00091,PROD0067,1,232.8,5,221.16
ITEM00283,TXN00091,PROD0327,1,182.43,10,164.19
ITEM00284,TXN00092,PROD0011,2,247.71,5,470.65
ITEM00285,TXN00092,PROD0372,1,91.99,0,91.99
ITEM00286,TXN00092,PROD0331,1,458.38,10,412.54
ITEM00287,TXN00092,PROD0478,3,421.14,15,1073.91
ITEM00288,TXN00092,PROD0322,1,362.65,15,308.25
ITEM00289,TXN00093,PROD0310,2,130.24,5,247.46
ITEM00290,TXN00093,PROD0437,2,403.83,5,767.28
ITEM00291,TXN00094,PROD0362,1,116.56,15,99.08
ITEM00292,TXN00094,PROD0101,1,153.61,10,138.25
ITEM00293,TXN00094,PROD0364,1,406.21,15,345.28
ITEM00294,TXN00095,PROD0310,1,130.24,10,117.22
ITEM00295,TXN00096,PROD0335,1,338.67,15,287.87
ITEM00296,TXN00097,PROD0273,1,122.84,5,116.7
ITEM00297,TXN00097,PROD0168,1,381.4,10,343.26
ITEM00298,TXN00098,PROD0203,1,11.07,10,9.96
ITEM00299,TXN00098,PROD0249,2,488.52,10,879.34
ITEM00300,TXN00099,PROD0329,2,219.84,15,373.73
ITEM00301,TXN00099,PROD0132,2,492.36,15,837.01
ITEM00302,TXN00100,PROD0367,3,318.04,0,954.12
ITEM00303,TXN00100,PROD0181,3,248.87,15,634.62
ITEM00304,TXN00100,PROD0408,1,411.23,0,411.23
ITEM00305,TXN00101,PROD0119,1,116.88,15,99.35
ITEM00306,TXN00101,PROD0497,2,17.34,10,31.21
ITEM00307,TXN00101,PROD0277,3,353.97,5,1008.81
ITEM00308,TXN00101,PROD0188,2,134.9,10,242.82
ITEM00309,TXN00101,PROD0333,3,251.89,5,717.89
ITEM00310,TXN00102,PROD0356,2,213.64,5,405.92
ITEM00311,TXN00102,PROD0183,1,491.19,15,417.51
ITEM00312,TXN00102,PROD0172,2,270.28,0,540.56
ITEM00313,TXN00102,PROD0026,1,474.16,10,426.74
ITEM00314,TXN00102,PROD0134,3,261.02,0,783.06
ITEM00315,TXN00103,PROD0279,1,470.92,5,447.37
ITEM00316,TXN00103,PROD0089,1,385.07,15,327.31
ITEM00317,TXN00103,PROD0208,1,499.17,10,449.25
ITEM00318,TXN00103,PROD0460,1,463.08,10,416.77
ITEM00319,TXN00104,PROD0379,3,214.23,5,610.56
ITEM00320,TXN00104,PROD0034,1,433.28,10,389.95
ITEM00321,TXN00104,PROD0436,1,445.79,10,401.21
ITEM00322,TXN00104,PROD0469,1,407.96,0,407.96
ITEM00323,TXN00104,PROD0059,1,457.57,15,388.93
ITEM00324,TXN00105,PROD0398,3,304.67,0,914.01
ITEM00325,TXN00105,PROD0052,2,74.07,5,140.73
ITEM00326,TXN00105,PROD0322,1,362.65,15,308.25
ITEM00327,TXN00105,PROD0227,3,307.77,0,923.31
ITEM00328,TXN00106,PROD0004,1,200.39,5,190.37
ITEM00329,TXN00106,PROD0285,1,173.98,0,173.98
ITEM00330,TXN00107,PROD0470,1,298.57,10,268.71
ITEM00331,TXN00107,PROD0229,1,78.01,0,78.01
ITEM00332,TXN00107,PROD0396,3,347.73,0,1043.19
ITEM00333,TXN00107,PROD0003,2,297.98,5,566.16
ITEM00334,TXN00108,PROD0019,3,76.26,5,217.34
ITEM00335,TXN00108,PROD0487,2,193.63,10,348.53
ITEM00336,TXN00108,PROD0262,3,321.01,0,963.03
ITEM00337,TXN00108,PROD0496,3,191.13,0,573.39
ITEM00338,TXN00108,PROD0051,2,252.2,5,479.18
ITEM00339,TXN00109,PROD0041,2,138.73,10,249.71
ITEM00340,TXN00109,PROD0040,3,16.07,5,45.8
ITEM00341,TXN00109,PROD0138,2,255.84,15,434.93
ITEM00342,TXN00109,PROD0181,3,248.87,10,671.95
ITEM00343,TXN00110,PROD0195,2,391.06,0,782.12
ITEM00344,TXN00110,PROD0187,1,399.57,15,339.63
ITEM00345,TXN00111,PROD0238,3,190.81,0,572.43
ITEM00346,TXN00112,PROD0383,2,261.88,5,497.57
ITEM00347,TXN00112,PROD0462,3,311.8,10,841.86
ITEM00348,TXN00112,PROD0369,2,253.64,0,507.28
ITEM00349,TXN00112,PROD0296,3,486.56,0,1459.68
ITEM00350,TXN00112,PROD0260,2,84.1,15,142.97
ITEM00351,TXN00113,PROD0302,3,452.32,15,1153.42
ITEM00352,TXN00113,PROD0152,2,336.61,10,605.9
ITEM00353,TXN00113,PROD0199,3,11.49,10,31.02
ITEM00354,TXN00114,PROD0266,2,110.52,15,187.88
ITEM00355,TXN00114,PROD0100,1,309.73,5,294.24
ITEM00356,TXN00114,PROD0178,1,416.22,15,353.79
ITEM00357,TXN00114,PROD0480,3,397.03,5,1131.54
ITEM00358,TXN00114,PROD0103,2,86.45,0,172.9
ITEM00359,TXN00115,PROD0447,2,392.73,5,746.19
ITEM00360,TXN00115,PROD0199,1,11.49,5,10.92
ITEM00361,TXN00115,PROD0377,3,244.33,10,659.69
ITEM00362,TXN00115,PROD0233,1,109.48,5,104.01
ITEM00363,TXN00116,PROD0455,3,364.39,15,929.19
ITEM00364,TXN00116,PROD0302,3,452.32,10,1221.26
ITEM00365,TXN00117,PROD0416,3,23.16,0,69.48
ITEM00366,TXN00118,PROD0237,3,182.62,10,493.07
ITEM00367,TXN00118,PROD0160,3,61.93,0,185.79
ITEM00368,TXN00118,PROD0341,1,369.56,5,351.08
ITEM00369,TXN00118,PROD0172,3,270.28,10,729.76
ITEM00370,TXN00118,PROD0286,2,192.19,15,326.72
ITEM00371,TXN00119,PROD0076,2,226.58,0,453.16
ITEM00372,TXN00119,PROD0475,2,130.26,10,234.47
ITEM00373,TXN00119,PROD0067,2,232.8,15,395.76
ITEM00374,TXN00119,PROD0007,2,313.81,15,533.48
ITEM00375,TXN00120,PROD0239,2,35.75,15,60.77
ITEM00376,TXN00120,PROD0417,1,99.11,10,89.2
ITEM00377,TXN00120,PROD0452,1,447.28,0,447.28
ITEM00378,TXN00121,PROD0321,3,158.01,5,450.33
ITEM00379,TXN00121,PROD0332,1,60.77,5,57.73
ITEM00380,TXN00121,PROD0004,1,200.39,0,200.39
ITEM00381,TXN00121,PROD0091,2,92.41,10,166.34
ITEM00382,TXN00121,PROD0226,1,344.33,10,309.9
ITEM00383,TXN00122,PROD0159,3,493.82,15,1259.24
ITEM00384,TXN00122,PROD0307,1,43.06,15,36.6
ITEM00385,TXN00123,PROD0402,1,117.05,0,117.05
ITEM00386,TXN00123,PROD0178,3,416.22,15,1061.36
ITEM00387,TXN00124,PROD0014,3,301.15,15,767.93
ITEM00388,TXN00124,PROD0397,1,308.0,0,308.0
ITEM00389,TXN00125,PROD0150,2,136.2,15,231.54
ITEM00390,TXN00125,PROD0261,3,447.56,5,1275.55
ITEM00391,TXN00125,PROD0453,1,165.45,0,165.45
ITEM00392,TXN00126,PROD0466,2,485.39,5,922.24
ITEM00393,TXN00127,PROD0178,2,416.22,5,790.82
ITEM00394,TXN00128,PROD0035,3,416.82,5,1187.94
ITEM00395,TXN00129,PROD0032,3,485.33,10,1310.39
ITEM00396,TXN00129,PROD0416,1,23.16,0,23.16
ITEM00397,TXN00130,PROD0371,2,357.8,10,644.04
ITEM00398,TXN00130,PROD0412,3,75.31,5,214.63
ITEM00399,TXN00130,PROD0478,2,421.14,0,842.28
ITEM00400,TXN00131,PROD0256,1,375.02,10,337.52
ITEM00401,TXN00131,PROD0032,3,485.33,0,1455.99
ITEM00402,TXN00131,PROD0475,3,130.26,15,332.16
ITEM00403,TXN00131,PROD0276,3,324.61,0,973.83
ITEM00404,TXN00132,PROD0381,3,299.24,5,852.83
ITEM00405,TXN00133,PROD0212,3,487.49,5,1389.35
ITEM00406,TXN00133,PROD0419,1,287.71,10,258.94
ITEM00407,TXN00133,PROD0367,3,318.04,10,858.71
ITEM00408,TXN00133,PROD0478,3,421.14,5,1200.25
ITEM00409,TXN00133,PROD0495,1,212.41,0,212.41
ITEM00410,TXN00134,PROD0252,3,15.9,15,40.55
ITEM00411,TXN00134,PROD0299,3,466.26,0,1398.78
ITEM00412,TXN00135,PROD0058,2,246.78,15,419.53
ITEM00413,TXN00135,PROD0452,2,447.28,5,849.83
ITEM00414,TXN00135,PROD0357,3,392.34,15,1000.47
ITEM00415,TXN00135,PROD0127,3,18.32,15,46.72
ITEM00416,TXN00135,PROD0234,1,393.72,10,354.35
ITEM00417,TXN00136,PROD0273,1,122.84,15,104.41
ITEM00418,TXN00137,PROD0310,2,130.24,15,221.41
ITEM00419,TXN00137,PROD0046,1,435.52,5,413.74
ITEM00420,TXN00137,PROD0052,3,74.07,10,199.99
ITEM00421,TXN00138,PROD0197,3,422.64,15,1077.73
ITEM00422,TXN00138,PROD0366,3,335.14,0,1005.42
ITEM00423,TXN00139,PROD0447,2,392.73,0,785.46
ITEM00424,TXN00139,PROD0182,2,369.04,15,627.37
ITEM00425,TXN00139,PROD0439,2,250.23,0,500.46
ITEM00426,TXN00139,PROD0500,2,468.46,10,843.23
ITEM00427,TXN00139,PROD0302,3,452.32,10,1221.26
ITEM00428,TXN00140,PROD0260,1,84.1,10,75.69
ITEM00429,TXN00140,PROD0127,1,18.32,15,15.57
ITEM00430,TXN00140,PROD0471,2,80.55,0,161.1
ITEM00431,TXN00141,PROD0325,2,466.79,10,840.22
ITEM00432,TXN00141,PROD0137,1,124.0,0,124.0
ITEM00433,TXN00142,PROD0154,1,279.79,5,265.8
ITEM00434,TXN00143,PROD0477,1,43.78,10,39.4
ITEM00435,TXN00143,PROD0011,2,247.71,0,495.42
ITEM00436,TXN00143,PROD0148,3,199.12,15,507.76
ITEM00437,TXN00143,PROD0079,3,203.97,5,581.31
ITEM00438,TXN00143,PROD0270,3,327.6,15,835.38
ITEM00439,TXN00144,PROD0226,2,344.33,10,619.79
ITEM00440,TXN00144,PROD0246,1,68.71,0,68.71
ITEM00441,TXN00144,PROD0210,1,251.37,5,238.8
ITEM00442,TXN00144,PROD0159,1,493.82,0,493.82
ITEM00443,TXN00144,PROD0459,1,39.52,5,37.54
ITEM00444,TXN00145,PROD0275,1,257.46,10,231.71
ITEM00445,TXN00145,PROD0377,1,244.33,10,219.9
ITEM00446,TXN00145,PROD0244,1,247.12,5,234.76
ITEM00447,TXN00146,PROD0059,3,457.57,10,1235.44
